Week	Taking
05/01/2014
12/01/2014	2882
19/01/2014	5155
26/01/2014	5479
02/02/2014	6410.5
09/02/2014	5532.5
16/02/2014	4489
23/02/2014	7211.5
02/03/2014	6506
09/03/2014	10593.5
16/03/2014	11143.5
23/03/2014	10872.5
30/03/2014	10573.5
06/04/2014	11413.5
13/04/2014	11207
20/04/2014	10962
27/04/2014	6727
04/05/2014	12567.5
11/05/2014	10324.6
18/05/2014	10894.5
25/05/2014	10305.5
01/06/2014	12570
08/06/2014	9807
15/06/2014	13646.62
22/06/2014	12562.5
29/06/2014	9123.5
06/07/2014	5543.5
13/07/2014	5665
20/07/2014	5802
27/07/2014	7058
03/08/2014	9596.5
10/08/2014	10088
17/08/2014	12269
24/08/2014	10561.5
31/08/2014	11408.5
07/09/2014	11232
14/09/2014	11264
21/09/2014	11860.5
28/09/2014	11075.5
05/10/2014	5751
12/10/2014	10583.5
19/10/2014	11583.5
26/10/2014	15118
02/11/2014	11975
09/11/2014	15768
16/11/2014	13428.5
23/11/2014	9033.5
30/11/2014	5760.5
07/12/2014	6040
14/12/2014	6127.5
21/12/2014	6394
28/12/2014
04/01/2015
11/01/2015	2237
18/01/2015	6755
25/01/2015	6170.5
01/02/2015	7739.5
08/02/2015	6607
15/02/2015	5090.5
22/02/2015	6937
01/03/2015	6814.5
08/03/2015	11595.5
15/03/2015	12531
22/03/2015	12376.5
29/03/2015	11626
05/04/2015	12306
12/04/2015	8602.5
19/04/2015	13758.5
26/04/2015	14059
03/05/2015	12739
10/05/2015	13801
17/05/2015	13990.5
24/05/2015	13048
31/05/2015	15315.5
07/06/2015	13215
14/06/2015	16749.5
21/06/2015	15166.5
28/06/2015	11144
05/07/2015	6775.5
12/07/2015	7642.5
19/07/2015	7501
26/07/2015	8711.5
02/08/2015	12250.5
09/08/2015	13675
16/08/2015	15482
23/08/2015	15638
30/08/2015	15844
06/09/2015	15506.5
13/09/2015	16068.5
20/09/2015	16336
27/09/2015	16112.5
04/10/2015	8608
11/10/2015	14274.5
18/10/2015	14523
25/10/2015	17225.5
