Date,Event
03/03/2014,Semester 1 Begins
18/04/2014,Mid-semester break begins
25/04/2014,Last day of Mid-semester break.
30/05/2014,Semester one ends.
02/06/2014,Swot Vac begins
06/06/2014,Swot Vac ends.
09/06/2014,Exams begin for semester one.
27/06/2014,Exams end for semester one.
28/07/2014,Semester two begins.
29/09/2014,Mid-semester break begins.
03/10/2014,Last day of mid-semester break.
24/10/2014,Semester two ends.
27/10/2014,Swot Vac begins.
31/10/2014,Swot Vac ends.
03/11/2014,Exams begin for semester two.
21/11/2014,Exams end for semester two.
02/03/2015,Semester one begins
03/04/2015,Mid-semester break begins.
10/04/2015,Mid-semester break ends
29/05/2015,Semester one ends
01/06/2015,Swot Vac begins.
05/06/2015,Swot Vac ends.
08/06/2015,Exams begin for semester one.
26/06/2015,Exams end for semester one.
27/07/2015,Semester two begins
28/09/2015,Mid-semester break begins
02/10/2015,Mid-semester break ends
23/10/2015,Semester two ends
26/10/2015,Swot Vac begins
30/10/2015,Swot Vac ends
02/11/2015,Exams begin for semester two
20/11/2015,Exams end for semester two

